Header in export,Discription,Code,Meaning
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA23     ,CORE BX.                                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2192,MG US Axilla Only Left                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2193,MG US Axilla Only Right                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA24     ,RECALL MAMMOGRAPHY NO CHARGE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",PMA02     ,BILATERAL MAMMO. CO. PHYSICAL                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2215,MG US Axilla Only Bilateral                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA01     ,WIRE LOCALIZATION BILATERAL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2388,MG US Axillary Lymph Node Bx Bilateral            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA11     ,"SPOT FILMS, FOLLOW-UP N/C                         "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1794,MG US Axillary Lymph Node Bx Left                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1795,MG US Axillary Lymph Node Bx Right                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HEP15     ,BILATERAL MAMMO. HOSP. EMPLOY                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA09     ,CMG MAMMO UNILAT 2-3 FILMS                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2686,MG US Axillary Lymph Node Bx w/Clip LT            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2687,MG US Axillary Lymph Node Bx w/Clip RT            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA12     ,NEEDLE BX AND ASPIR. OF BREAST                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA14     ,CMG MAMMO UNILATERAL SCREENING                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2497,MG US Breast Axillary Lymph Node Bx Left          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2498,MG US Breast Axillary Lymph Node Bx Right         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA01     ,WIRE LOCALIZATION/UNILATERAL                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA15     ,EUH/BIL MAMMO/SCREENING                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2341,MG US Biopsy Lymph Node Superficial               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1796,MG US Breast Clip Placement Bilateral             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA02     ,WIRE LOCALIZATION/BILATERAL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA23     ,EUH CORE BX                                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1797,MG US Breast Clip Placement Left                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1798,MG US Breast Clip Placement Right                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA04     ,SPECIMEN - 2VIEWS                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BAC02     ,"MAMMO, BIL. BIC AM.CAN.SCREEN                     "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1799,MG US Breast Drain Placement Bilateral            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1800,MG US Breast Drain Placement Left                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KBN16     ,ELBOW COMPLETE 3 OR MORE VIEWS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",PMA01     ,UNILATERAL MAMMO CO. PHYSICAL                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1801,MG US Breast Drain Placement Right                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1802,MG US Breast Ductogram Bilateral                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA11     ,"SPOT FILMS, FOLLOW-UP N/C                         "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DBN16     ,ELBOW COMPLETE 3 OR MORE VIEWS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1803,MG US Breast Ductogram Left                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1804,MG US Breast Ductogram Right                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA26     ,IMPLANTS BILATERAL DIAGNOSTIC                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA25     ,IMPLANT UNILATERAL DIAGNOSTIC                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1805,MG US Breast Guided FNA Bilateral                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1806,MG US Breast Guided FNA Left                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA21     ,IMPLANT UNI SCREEN UP TO 4 FLM                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",JBN16     ,ELBOW COMPLETE 3 OR MORE VIEWS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1807,MG US Breast Guided FNA Right                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1808,MG US Breast Specimen Left                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA22     ,CMG IMP BIL SCR UP TO 8 FILMS                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMS04     ,CMG READ O/S FILMS NO CHARGE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1809,MG US Breast Specimen Right                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA13     ,RADIOLOGIST REQUEST O/S FILMS                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA09     ,MAMMOGRAPHY/UNILATERAL 2 FILMS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2703,MRI Breast Abbreviated Scrn w+w/o Con Bi          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA14     ,EUH SCREENING MAMMO UNI/2 FILM                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2713,MRI Breast Abbreviated Scrn w+w/o Con Lt          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2714,MRI Breast Abbreviated Scrn w+w/o Con Rt          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",NBN16     ,ELBOW COMPLETE 3 OR MORE VIEWS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BAC01     ,"MAMMO, UNI. BIC AM.CAN.SCREEN                     "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",786,MRI Breast Bx Perc Ndl Core Bilateral             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",787,MRI Breast Bx Perc Ndl Core Left                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",FUS52     ,US/UPPER EXT VEIN BILATERAL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KUS36     ,ULTRASOUND DUPLEX CAROTID                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",788,MRI Breast Bx Perc Ndl Core Right                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2425,MRI Breast w/+ w/o Contrast Bil Abbrev            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",789,MRI Breast Bx Perc w/Vac Assist Bilat             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BUS28     ,US CYST ASPIR 2 ONLY                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BUS29     ,US CYST ASPIR - 3 OR MORE                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",790,MRI Breast Bx Perc w/Vac Assist Left              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",791,MRI Breast Bx Perc w/Vac Assist Right             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA31     ,EACH ADD NEEDLE USED ON 1 LES                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA28     ,STEREOTACTIC FNA OF BREAST                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",792,MRI Breast w/ + w/o Contrast Bilateral            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",793,MRI Breast w/ + w/o Contrast Left                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SBN16     ,ELBOW COMPLETE 3 OR MORE VIEWS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA27     ,WIRE/TACK LOC-3 OR MORE LESION                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",794,MRI Breast w/ + w/o Contrast Right                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",795,MRI Breast w/ Contrast Bilateral                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",FUS05     ,US/LIVER                                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AGV19     ,ANGIOGRAPHY-INTERNAL MAMMARY                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",796,MRI Breast w/ Contrast Left                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",797,MRI Breast w/ Contrast Right                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA29     ,CORE BX X 2                                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",PUS02     ,US-HAND HELD/ UNILATERAL                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",798,MRI Breast w/o Contrast Bilateral                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",799,MRI Breast w/o Contrast Left                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA15     ,BIL MAMMO SCREEN UP TO 8 FILMS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA22     ,IMPLANT BIL SCREEN UP TO 8 FLM                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",800,MRI Breast w/o Contrast Right                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1685,MRI Breast Needle Loc Wire Bilateral              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA11     ,"TECH RECALL, FOLLOW-UP N/C                        "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA10     ,"MAMMO, BILAT, UP TO 8 FILMS                       "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1686,MRI Breast Needle Loc Wire Left                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1687,MRI Breast Needle Loc Wire Right                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SSP05     ,C-SPINE W/ADD. FILM 7 VIEWS                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA24     ,RECALL MAMMOGRAPHY NO CHARGE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA09     ,"MAMMO, UNILAT, UP TO 4 FILMS                      "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1104,US Breast Bilateral                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1108,US Breast Left                                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA19     ,RECALL MAMMOGRAPHY                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMS04     ,READ-OUTSIDE FILMS NO CHARGE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2201,US Breast Left Limited                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SUS91     ,"US-BREAST, UNILATERAL                             "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1112,US Breast Right                                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMS05     ,O/S FILMS/CONSULTATION                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2203,US Breast Right Limited                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SUS90     ,"US-BREAST, BILATERAL                              "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1745,US Breast Core Biopsy w/Clip Bilateral            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1746,US Breast Core Biopsy w/Clip Left                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA03     ,MAMMOGRAPHY ADD. FILMS EACH                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA20     ,MAMMO ADDITIONAL FILMS (1-2)                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1747,US Breast Core Biopsy w/Clip Rt                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1105,US Breast Cyst Aspiration Bilateral               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",GMA15     ,SCREENING MAMMO-OSLANDER RES                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SUS04     ,US-BREAST                                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1106,US Breast Cyst Aspiration Left                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1107,US Breast Cyst Aspiration Right                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HCT62     ,CT-CERVICAL SPINE WITH CONTR.                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA12     ,"FNA OF BREAST, EACH                               "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1756,US Breast Drain Placement                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1088,US Breast Guid Bx w/Vac Asst w/Clip Bil           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA21     ,IMPLANT UNI SCREEN UP TO 4 FLM                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA26     ,IMPLANTS BILATERAL DIAGNOSTIC                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1089,US Breast Guid Bx w/Vac Asst w/Clip Lt            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1090,US Breast Guid Bx w/Vac Asst w/Clip Rt            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA25     ,IMPLANT UNILATERAL DIAGNOSTIC                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",PMA22     ,BIL MAMMO - FITZGERALD                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1085,US Breast Guided Bx w/Vac Asst Bilat              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1086,US Breast Guided Bx w/Vac Asst Left               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMR25     ,MRI BRAIN WITHOUT CONTRAST                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DUS02     ,US-BREAST                                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1087,US Breast Guided Bx w/Vac Asst Right              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA20     ,MAMMO ADDITIONAL FILMS (1-2)                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1079,US Breast Guided Core Bx Bilateral                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",M04       ,"MAMMO, UNILAT, UP TO 4 FILMS                      "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1080,US Breast Guided Core Bx Left                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1084,US Breast Guided Core Bx Right                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",WCT52     ,CT-EXTREMITY                                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA32     ,"MAMMOTOME BX, STEREO LOC                          "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1109,US Breast Needle Localization Bilateral           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1110,US Breast Needle Localization Left                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA33     ,CLIP PLACEMENT                                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA30     ,"MAMMOTOME BX, STER LOC, X3                        "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1111,US Breast Needle Localization Right               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1749,US Breast Specimen Left                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR98     ,MRI BREAST UNILATERAL                             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",WFA20     ,"SKULL, 1-3 VIEWS                                  "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1750,US Breast Specimen Right                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1781,US Breast Axillary Lymph Node Biopsy              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA34     ,DUCTOGRAM SINGLE DUCT                             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR861    ,MRI UPPER EXTR WITH CONTRAST                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA12     ,EUH NEEDLE BX & ASP. OF BREAST                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1783,US Breast Ductogram Bilateral                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1784,US Breast Ductogram Right                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA11     ,"TECH RECALL, FOLLOW-UP N/C                        "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA36     ,PERC NEEDLE CORE BX W/U/S GUID                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1789,US Breast Ductogram Left                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA37     ,NDL LOC WIRE PLCMT W/U/S GUID                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SSP04     ,CSPINE 4+ VIEWS                                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1992,MG RS Breast 3D Bilateral                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1985,MG RS CT Breast Vascular Calc Rt                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",PUS01     ,US-HAND HELD/ BILATERAL                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA98     ,NEW/ESTAB VISIT OUTPATIENT                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1986,MG RS CT Breast Vascular Calc Lt                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1987,MG RS Stereo Dig Mammo Bilateral                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA14R    ,"UNI MAMMO SCREEN, RT, DIGITAL                     "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR791    ,MRI BREAST UNILATERAL WITHOUT                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA321    ,"MAMMOTOME BX, U/S GUIDANCE                        "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2212,US Breast Bilateral Complete                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2213,US Breast Bilateral Limited                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMS13     ,MISC.SUPPLY CODE FOR BREAST BX                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM07      ,MAMMO STEREO WIRE LOCALIZATION                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2200,US Breast Left Complete                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR891    ,MRI BREAST BILATERAL                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM10      ,MAMMO STEREO BX PERC NDL CORE                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2654,MG Diagnostic Bilateral CESM                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2655,MG Diagnostic Left CESM                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",CMR89     ,MRI BREAST BILATERAL WITH                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",CMR891    ,MRI BREAST BILATERAL                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2662,MG Diagnostic Right CESM                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",EMR861    ,MRI UPPER EXTR WITH CONTRAST                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",WBN39     ,AXIAL BONE SURVEY                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2695,MG Screening Bilateral CESM                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2696,MG Screening Right CESM                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU02      ,U/S GUIDED BX W/VACUUM ASSIST                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",CMR791    ,MRI BREAST UNILATERAL WO CONT                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2697,MG Screening Left CESM                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",CMR79     ,MRI BREAST UNILATERAL W CONT                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB010    ,MRI BREAST BIL WITH CONTRAST                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB035    ,MRI BREAST UNI W/O CONTRAST                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRE015    ,MRI UPP EXTR W/CONT                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB040    ,MRI BREAST UNI W/+W/O CONT                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRX045    ,MRI BREAST BIOPSY                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB015    ,MRI BREAST BIL WITHOUT CONT                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",IRG075    ,IR ANGIO INTERNAL MAMMARY                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM36      ,MM CAD SCREENING MAMMO                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MME20     ,MM MAMMO BIL DIGITAL CO. PHYS                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM20      ,NEW/ESTAB VISIT OUTPATIENT                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB030    ,MRI BREAST UNI W CONTRAST                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM30    ,SPECIMAN RADIOGRAPH                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO69    ,OP SONO CYST ASPIRATION                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM20    ,MAMMO STEREO LOCALIZATION                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM15    ,MAMMO MAMMARY DUCT MULTIPLE                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO14    ,OP US NEEDLE LOC                                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO13    ,OP SONO OF SPECIMEN                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM33    ,DIGITAL  SCREENING                                
